tool_id,tool_name,tool_type,source,tool_url,short_description,category,capabilities,long_description,pricing
TOOL_0037,Scite,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6952b3a3f1e881918951582d59483c78,Answers grounded in science,,,"What's the latest research on impact of adolescent screen time? Scite delivers answers grounded in peer-reviewed research you can verify. Each response is backed by real scientific sources, with citations that show how studies have been supported, disputed, or contextualized by other researchers. Behind the scenes, Scite’s proprietary citation-based ranking model prioritizes trustworthy, validated research, helping users move beyond claims to evidence.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0038,Sider Scholar,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6948b485f5bc8191adb4df13f369cec7,Search 350M+ Paper. Save. Chat,,,"Your AI Research Assistant lets you search 350M+ research papers, chat with large volumes of research PDFs, and save findings to your Wisebase (knowledge base). 1. Global Academic Search (Search & Read) - Major Sources: Search 350M+ papers from Google Scholar, PubMed, arXiv, and more. - Read Instantly: Access full papers instantly to verify findings. 2. Build Your Knowledge Base (Save & Collect) - Save for Continuous Research: Save searched papers to Wisebase for continuous questioning and deep analysis of your findings. - Save Chat History: Save key research discussions as editable documents to capture and refine insights. 3. Unified Knowledge Analysis (Agentic RAG) - Chat with Your Collection: Analyze your entire collection simultaneously. - Traceable Sources: Get grounded answers with precise Reference Indices to verify every claim. 4. Visual Knowledge Organization (Visualize & Explore) - Knowledge Graphing: Instantly generate interactive graphs from any paper to explore definitions, cause-and-effect links, and concept hierarchies. Ideal Use Cases: For researchers, PhD students, and academics who need to access massive academic sources and synthesize grounded arguments with precise citations. How to Use in ChatGPT 1. Connect App: Connect Sider Scholar to ChatGPT. 2. Trigger: Type “@Sider Scholar"". Sample Prompts - Search Paper: “@Sider Scholar Search recent papers on 'LLM alignment' published in the last two years.” - Chat with Knowledge Base: “@Sider Scholar Answer questions about 'CRISPR gene editing' using my Knowledge Base.” - Visual Research: “@Sider Scholar Build a Knowledge Graph explaining key concepts in 'Reinforcement Learning'.”",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0039,SciSpace,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69439d715a7c8191aed9e2f6649e105f,For science and research,,,"Hey @SciSpace find new research papers on gravitational waves Hey @SciSpace, can intermittent fasting help me lose weight? SciSpace for ChatGPT supports the core tasks of research: discovery, triage, and synthesis. Use it to search for academic papers and review them in a customizable table with metadata and links. Add structured columns - abstract, summary, methods, results, conclusions - to quickly assess relevance and quality. Then use the collected list as the basis for literature review notes, thematic synthesis, and targeted follow-up searches. Get started with prompts like: 1. ""SciSpace Find papers on impact of nanoplastics on gut health"" 2. ""SciSpace How does climate change impact biodiversity?""",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0040,Midpage Legal Research,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_699cc1a043688191a3ee44e6a2c2ebc1,Conduct legal research,,,"Connect ChatGPT to a database of case law. With the Midpage App, ChatGPT can conduct complex legal research, review opinions, and craft high quality work product. Everything is hyperlinked to real sources for easy verification.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0041,Wolfram,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69fe0bf66c8481919c513d799406436e,Add computation & knowledge,,,"The Wolfram MCP Server transforms your AI environment into a rigorous computational powerhouse. By integrating Wolfram Language and Wolfram|Alpha, this server provides access to curated data and sophisticated algorithms. When a user submits a query, the LLM works with Wolfram to convert it into Wolfram Language for precise evaluation, and these exact results are incorporated into the response provided by the LLM. Whether you are solving complex differential equations, analyzing chemical structures or querying real-time socioeconomic data, the MCP Server ensures your AI has the ""computational brain"" necessary to deliver verified, high-level technical results that can be trusted.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0042,Malwarebytes,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6943d1778c8c81918f4c9ddf4849ca41,"Verify links, domains, phones.",,,"Protect yourself from phishing and scams by verifying links, domains, emails, and phone numbers before you click, call, or reply. Get instant reputation insights, ownership details, and risk levels for unknown numbers, suspicious emails, shortened URLs, and unfamiliar links - right inside ChatGPT.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0043,Vanta,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6a033addd77881918cea85cd71109f80,Build trust with Vanta,,,"Manage your trust program using natural language. You can ask questions about your compliance status, understand which tests need attention, and draft infrastructure fixes without leaving where you work. Try questions like: - ""What's my SOC 2 completion status?"" - ""Show all my most important failing tests"", - ""Draft a PR to fix my infrastructure misconfigurations within this repo"" - ""Summarize our gaps ahead of the audit""",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0044,Soluvery,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69c6417ce320819192d4b9edf3daf4ce,Audit Google Drive Permissions,,,How many files in my Google Drive are publicly shared? How many files does [a specific email from the test Drive] have access to? Run a full audit of my entire Google Drive Soluvery scans your Google Drive in real time and shows you exactly which files are publicly shared or accessible by specific people. No setup needed — just ask.,Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0045,Bitdefender,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69ae8d10d5b48191bd9eadb52dfcc22d,Tool designed to check URLs,,,"Is this URL safe to browse? https://www.bitdefender.com Is this URL safe to browse? http://bitdefender-testing.com/malvertising Bitdefender Link Checker is a free tool designed to verify URLs, helping users avoid malware, phishing attempts, and counterfeit websites.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0046,PureVPN Privacy Assistant,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6979fd5b5ddc81918a648f759cc4d719,Secure Browsing Guidance,,,"Tell me a bit about PureVPN I'm at the airport, need to access my US work accounts securely Get reliable guidance for safer and more private browsing. Receive smart VPN server recommendations based on performance and location, along with practical troubleshooting tips to improve connection stability and speed.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0047,Binance,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6965faefe2b081919a998e14aa25f738,Explore Binance market data,,,"What is the 24 hour price change and volume for BTCUSDT in USD-M Futures? Binance for ChatGPT lets you access and explore Binance public, read-only market data using natural language. Retrieve current and historical prices, order books, recent trades, candlesticks (klines), and exchange metadata across Spot, Futures, and Options. No authentication is required. This app does not access user accounts and does not support trading or transactions. Market data is provided “as is” from Binance’s public APIs and may be delayed, incomplete, or subject to change. This information is for informational purposes only and should not be relied upon for trading or financial decisions. Binance makes no representations or warranties regarding accuracy or timeliness and disclaims all liability arising from use of this data.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0048,Stripe,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_690ab09fa43c8191bca40280e4563238,Accept payments,,,"Develop your payments integration faster with the ability to create products, prices, and payment links directly in ChatGPT. Run your business from ChatGPT with the ability to retrieve and manage payments, subscriptions, invoices, refunds, disputes, and customers. Build and debug your payment integration quicker than ever by searching the Stripe documentation and getting integration recommendations without needing to leave ChatGPT.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0049,Alpaca,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_691f721a77bc8191be115b65c85075c0,Market data: stocks & crypto,,,"Stop watching the markets. Turn your words into insights with Alpaca. Ask Codex real market questions and get live answers you can act on, including historical data, snapshots, quotes, and option chain information. Stock, options, and crypto market data embedded right into your conversation so you can turn analysis into automated actions. ""How has AAPL's stock performed this quarter vs GOOG?"" ""Show me the SPY option chain that expires next Friday."" ""When has BTC's price reached $100k USD this year?""",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0050,Calorie Tracker,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69b5c48a72348191b3ad5abf6ec5dbfb,Track your food and calories,,,"Show me yesterday meal Calorie Tracker AI helps you log meals, track calories, and understand your eating habits with minimal effort. Simply enter what you eat, and the app estimates calories and nutrients so you can stay aware of your daily intake without manual calculations.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0051,MyFitnessPal,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6945d9d84c5c8191a28343ae9d7b6e8b,How many calories should I eat to hit my weight goal?,,,"What's a healthy dinner I can cook today? I'm actually a pescatarian. Give me recipes for that. Generate meal plans, recipes, and personalized nutrition guidance",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0052,CalorieCam,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69c320d803048191bc2682ea9ff3e5fa,Personalised nutrition plans,,,"How many calories should I eat to lose weight? How many calories and macros should I eat to maintain my weight? How much sodium should I consume per day? What if finding your ideal calorie target was just one message away? Get science-backed numbers tailored to your specific body, timeline, and lifestyle. Just tell me your goals or ask, ""How many calories do I need to lose weight?"" to generate your personalized nutrition plan. Turn that advice into action. Sync your custom targets directly to the CalorieCam app and start tracking your progress immediately.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0053,COROS,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6a0694cbb2608191bbefb74ba810ab68,Workout data insights,,,"COROS MCP connects ChatGPT with COROS workout, activity, device, and training data, so users can ask natural-language questions about their performance trends. It helps users review workout records, analyze activity details, laps, segments, and FIT files, understand training load and schedules, and generate personal activity and training summaries. It is not for emergencies, clinical diagnosis, or medication advice.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0054,Skyscanner,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_694546cd042881919bb746a8dc300f38,Find cheap flights,,,"flights from San Francisco to Seattle next weekend returning on Tuesday what's the cheapest date in April to fly from NYC to Cancun best flights from 🏴󠁧󠁢󠁳󠁣󠁴󠁿 to Gillette Stadium on 12 June ⚽️ Compare and book cheap flights from anywhere, to everywhere. We scan all the top airlines and travel providers, so you can compare flight fares and other travel costs in one place. Once you’ve found the best flight, you book directly with the provider.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0055,Wikiloc,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69c1784c29208191a35b4ddef3c7e6d5,Your perfect trail. Just ask.,,,"Describe where you want to go and what you want to do, and skip the search. Get a tailored selection of trails from Wikiloc's 77 million authentic trails, shared by 20 million outdoor enthusiasts worldwide. Ask for hiking routes near your destination, cycling paths that match your fitness level, or hidden trails locals love. Explore interactive trail maps with waypoints marking peaks, waterfalls, viewpoints, and other highlights mapped by the Wikiloc community. See over 140 million photos taken along the trails so you know what awaits before you plan your next adventure. Try asking: - ""Find me family-friendly trails in Spain"" - ""Show me mountain bike routes in the Alps around 20km"" - ""I'm visiting Italy next week. Find me 3 beautiful hikes near the Dolomites with lake views"" - ""I want to see the great cliffs of Ireland. Recommend me some hikes"" - ""Show me some stunning hikes ideal for a weekend in California""",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0056,Trip.com,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69c4d4163c8c819183a9bdcf6d2ac262,Plan Flights & Trains Easily,,,"Find me flights from LON to NYC this weekend for round trip Find me trains from Beijing to Shanghai this weekend Search and compare flights and trains on Trip.com directly from ChatGPT. Explore one-way, round-trip and multi-city flights, plus rail journeys across Europe and Asia. Check schedules, fares, routes, transfers, operators, and enjoy secure instant booking, and 24/7 support. Trip.com is perfect for itinerary planning and travel inspiration.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0057,Flight Network,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69848e517d0c819191695bf9b23f0208,Search and book flights,,,"Find flights from NYC to London on Friday Find flights from NYC to London next weekend returning on Tuesday Find flights to Golden Gate Bridge from British Museum next weekend Use Flight Network ChatGPT app to find and compare real-time flight options directly in your chat. Simply type @Flight Network followed by your request, or ask for flight recommendations during any travel planning conversation. Example: ""Find flights from NYC to London in two weeks"" Real-Time Data: Access live pricing and availability from hundreds of airlines instantly. Conversational Search: No complex filters. Just tell Flight Network ChatGPT app where you want to go and when.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0058,eDreams,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69a85fe44a188191a43c7dbc80186d70,Find flights and hotels,,,"Search a flight for a weekend in Madrid Skip the hassle of comparing dozens of tabs. eDreams helps you search and compare flights and hotels in one place, but through a simple conversation. Just tell it where and when you want to travel, and it quickly shows the cheapest and best options so you can decide faster.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0059,Apple Music,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6938a94a61d881918ef32cb999ff937c,Build playlists and find music,,,,Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0060,Tarot,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6943a2c078b0819188de39e4fe168d9b,Tarot Reading & Divination,,,"Kick-start your tarot reading right inside ChatGPT. Ask AI Tarot to shuffle digital tarot cards, lay a three-card spread, and return clear, private divination insights—no ads or waiting rooms. How to Use Tarot in ChatGPT 1. Connect: Connect the Tarot app to ChatGPT. 2. Trigger: Type Commands: Simply type ""@"" then choose the Tarot app, or type “Tarot” (followed by a space) in the chat box. 3. Create: You are ready to go! Try asking specifically: ""Pull tarot cards for my love life."" ""Draw three tarot cards and interpret the spread for my upcoming week."" “Provide a three-card tarot reading on balancing work and health.” Want to dive deeper? Keep asking follow-ups in chat or open the full app for richer symbolism and saved readings.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0061,Shazam,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6944570636288191b7944d8c4a3fb857,Identify songs instantly,,,"Identify any song playing around you, right within ChatGPT. Use @Shazam in your prompt to discover music with the same powerful recognition technology trusted by hundreds of millions worldwide. Preview songs inline, and save discoveries directly to your Shazam library.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0062,Ticketmaster,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69b1c539d7f8819184ba2653b9872f90,Search Ticketmaster For Events,,,"When are the next San Antonio Spurs games? Show me tickets for Tuesday. Show me tickets for Tuesday. The Ticketmaster app puts the world of live entertainment in your hands—making it easy to discover upcoming concerts, sports games and theatrical productions, helping you find events you love and secure your seats in just a few taps.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0063,Etsy,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69dfa26ad60081919fb9e3a1a50e3e53,"Shop Home, Style & More",,,"Etsy is a marketplace of independent sellers. For more information on each product, including warnings, disclaimers, and return policies, or to report a listing, please visit the listing page. Responses are powered by ChatGPT. By clicking ""Connect"", you agree to Etsy's Terms of Use and Privacy Policy.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0064,TheFork,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69324a40807c819189017b29ac8438dd,Find & book restaurants,,,,Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0065,Podcast App,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69ea8fff9b048191961dc39a99d1cf06,Find great podcasts,,,"Find podcast shows about history Provide podcast episodes about World War II 🎧 Explore a great way to find podcast shows and episodes based on what you’re looking for. Ask about any topic, idea, or show, and get relevant podcasts and specific episodes 🔍 ✨ With Podcast App in ChatGPT you can: • 🔍 Search for podcasts by topic, interest, or question • 🎙️ Find specific episodes that cover what you want to explore • 📋 Explore episodes within a podcast on specific themes",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0066,AllTrails,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_68f1afc5a6008191a701eaaab428816c,Discover your next hike,,,,Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0067,Canva,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-alKfVrz9K-canva,"Effortlessly design anything: presentations, logos, social media posts and more.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0068,Data Analyst,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-HMNcP6w7d-data-analyst,Drop in any files and I can help analyze and visualize your data.,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0069,Expedia,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-68d8ecbe98388191bd93f6b1d03158bf-expedia,"Bring your trip plans to life – get there, stay there, find things to see and do.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0070,AskYourPDF Research Assistant,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-UfFxTDMxq-askyourpdf-research-assistant,"Chat & Analyse Documents, Access 400M+ Papers (PubMed, Nature, Arxiv, etc), Analyse PDF (Unlimited PDFs), Generate articles/essays with valid citations, ChatPDF, Analyse and generate references for papers, create and interact with a knowledge base of your files and much more using AskYourPDF.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0071,AI 그림 그리기 - 이미지 복원 / 통합 / 편집 / 스타일 변경,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-apTaTPT9v-ai-geurim-geurigi-imiji-bogweon-tonghab-pyeonjib-seutail-byeongyeong,"AI 그림 그리기 GPT는 이미지 생성에 사용된 프롬프트를 제공하며, 일관된 이미지 생성, 업로드한 이미지 복원 및 통합 기능을 지원합니다.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0072,Hot Mods,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-fTA4FQ7wj-hot-mods,Let's modify your image into something really wild. Upload an image and let's go!,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0073,"Copywriter GPT - Marketing, Branding, Ads",Custom GPT,Custom GPTs,https://chatgpt.com/g/g-Ji2QOyMml-copywriter-gpt-marketing-branding-ads,Your innovative specialist for scroll-stopping ad copywriting. Viral marketing strategies fine-tuned to your needs! [New] Now supports Image Ads,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0074,チャット,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-8sPlJ64Gn-tiyatuto,日本の文化とビジネスに最適化された多機能 GPT チャット。プログラミング、執筆、データ分析、日常の相談まで、高度な AI アシスタントが日本語で正確にサポートします。,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0075,Math Solver,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-9YeZz6m6k-math-solver,"Your AI Math Solver, offers step-by-step answers, and helps you learn math and even all subjects, at any educational level.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0076,Rizz GPT Relationship Advice,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-CsdwU23wt-rizz-gpt-relationship-advice,"Your go-to dating message expert, ready to boost your charm!",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0077,Grimoire,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-n7Rs0IK86-grimoire,+1,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0078,"Finance & Economics - Stock, Crypto, Trade, Invest",Custom GPT,Custom GPTs,https://chatgpt.com/g/g-iR15hX15H-finance-economics-stock-crypto-trade-invest,"Up-to-date market data, news, insights, plus clear explanations of finance, economics, and market theory, sourced from trusted public data. (Disclaimer: Educational only; not financial advice.)",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0079,Website Generator,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-iYSeH3EAI-website-generator,"🔮 Create a website in seconds! 🔮 Generate, design, write code, and write copy for your website. Powered by B12. Questions? Chat with us at: https://support.b12.io/en/website-generator-chat",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0080,Diagrams: Flowcharts & Mindmaps,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-jBdvgesNC-diagrams-flowcharts-mindmaps,"🎯 INFOGRAPHICS & VISUALIZATION 💾 DIAGRAMS, CHARTS + ANALYSIS 📊 For CODE: Database, UX, ERD, PlantUML! For Business & Data Analysis: Flowchart, Timeline & more!",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0081,Legal & Contracts (Lawyer-Backed/Not Legal Advice),Custom GPT,Custom GPTs,https://chatgpt.com/g/g-odWlfAKWM-legal-contracts-lawyer-backed-not-legal-advice,"🏆 The world’s leading legal AI--backed by 2,000+ lawyers on demand. Use the chatbot to instantly draft contracts and conduct research then loop in an attorney to verify. Powered by www.Inhouse.app. (Disclaimer: AI is not a lawyer and cannot give legal advice. Always consult an attorney)",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0082,"Mia AI, your friend to understand yourself",Custom GPT,Custom GPTs,https://chatgpt.com/g/g-l38NcMokB-mia-ai-your-friend-to-understand-yourself,Drop what’s heavy. Find clarity. +1.7M Conversations,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0083,Graphic Designer,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-lPeUc0axE-graphic-designer,"World-class AI Graphic Design Expert & Creative Director. Specializes in professional, trend-forward, production-ready visual design across all mediums — branding, digital, print, motion, UI/UX, packaging, social, illustration, and emerging formats (AR/VR, 3D, NFTs, etc.).",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0084,Matlab Help,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-w6u2v1z4A-matlab-help,🔷#1 Specialized Unofficial Matlab Assistant🔷 not affiliated with MATLAB,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0085,Cover Letter,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-tb2UpZTEH-cover-letter,"Boost interviews with compelling cover letters tailored to job applications - simple, quick, effective.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0086,"Headshot Pro: Face rating, Hair, Outfit & Photos",Custom GPT,Custom GPTs,https://chatgpt.com/g/g-yoiVlMv3g-headshot-pro-face-rating-hair-outfit-photos,"Turn your photos into polished headshots, LinkedIn/profile pictures, and personal-brand portraits with natural face preservation, better lighting, hair, outfits, and background styling.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0087,LOGO,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-9i7ARxKhj-logo,🚀 Has a Different Approach to creating your LOGO 🚀 Try allowing it to generate a bunch of different ones and then iterate based on that. Hope you like it 😉,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0088,"Fitness, Workout & Diet - PhD Coach",Custom GPT,Custom GPTs,https://chatgpt.com/g/g-ipOIcM229-fitness-workout-diet-phd-coach,"🟢 IMPROVE QUICKLY 🎁 Get Bonus Gift 🎁 Receive turn-key fitness & workout support plus advanced diet & nutrition insights. Trained on 232,625 PhD-level empirical data points. v3.27",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0089,R Wizard,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-TgjKDuQwZ-r-wizard,"A specialist in R programming, Data Science, Multivariate Statistics, Machine Learning, and AI/LLM Integration providing accurate and useful guidance.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0090,Monday,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-67edab030ac881918ce8fa5c75a8e1b3-monday,A personality experiment. You may not like it. It may not like you.,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0091,AI Video Generator & Text to Video Maker GPT,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-CPgdui5Ib-ai-video-generator-text-to-video-maker-gpt,"Create stunning AI videos from text instantly. The #1 AI Video Generator & Text to Video Maker. Make viral content, animate images, and generate professional results effortlessly.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0092,Creative Writing Coach,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-lN1gKFnvL-creative-writing-coach,I'm eager to read your work and give you feedback to improve your skills.,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0093,PDF Reader,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-QSh6KHL3S-pdf-reader,In-depth interaction with PDF content. Learn more on my YouTube channel: @Corbin_Brown,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0094,Video AI by invideo,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-h8l4uLHFQ-video-ai-by-invideo,4.0 ★ - AI video maker GPT (Supercharged with Sora 2) - generate engaging videos with voiceovers in any language!,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0095,DesignerGPT,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-2Eo3NxuS7-designergpt,"Creates and hosts beautiful websites, seamlessly integrating DALL·E-generated images. Sends the website to Replit for further refining and personal domain. Your all-in-one AI solution for web development.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0096,Personal Color Analysis,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-35kDoPvW7-personal-color-analysis,Personal color analyst helping you find your best colors,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0097,Action Figure Generator,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-67e78f0ad59481919afba9a6b28d6724-action-figure-generator,"Turn yourself into a photorealistic flat-pack action figure in blister packaging. Create your own action hero with accessories, style, and packaging color — or get a ready-to-use DIY prompt. Free bonus tools help you bring your figure to life.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0098,MARKETING,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-DtjWjSDiv-marketing,Your expert mentor in advertising >> Guiding Media Professionals working at the Big 6 agencies.,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0099,Logo Creator,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-gFt1ghYJl-logo-creator,Use me to generate professional logo designs and app icons!,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0100,Consensus,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-bo0FiWLY7-consensus,"Ask the research, chat directly with the world's scientific literature. Search references, get simple explanations, write articles backed by academic papers.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0101,DALL·E,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-2fkFE8rbu-dall-e,"OpenAI’s legacy image generation model. For our latest model, ask ChatGPT to create an image in the main chat.",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0102,Universal Primer,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-GbLbctpPz-universal-primer,+1,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0103,👌Academic Assistant Pro,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-UubB08D4y-academic-assistant-pro,Professional academic assistant with a professorial touch,,,,Free to connect to ChatGPT. App use might be restricted to app plan.
TOOL_0104,Resume/CV & Interview - Job & Career Coach 🔥,Custom GPT,Custom GPTs,https://chatgpt.com/g/g-MPzLx3VuB-resume-cv-interview-job-career-coach,"Create or improve your CV / Resume for ATS checks and job applications in seconds, with interview and cover letter support. (by aieveryday.net)",,,,Free to connect to ChatGPT. App use might be restricted to app plan.
